1|임무용 아이템
1714|공격
1715|마법 사격
1716|최후의 파멸 계시
1717|한손 버스터
1718|양손 버스터
1719|한손 드릴
171a|공격
171b|마법 사격
171c|고도
171d|고도 오류
171e|계산
171f|생명계산술
1720|공격
1721|폭력적인 주먹
1722|초섬광
1723|최후의 파멸 계시
1724|충격의 파도
1725|최후의 고출력 광선
1726|대지 미사일
1727|얼음 미사일
1728|대형 돌개바람
1729|사형 판결
172a|일제 사격
172b|고블린 불꽃
172c|호드 대충격
172d|공격
172e|총격
172f|증기 미사일
1730|영원한 빛줄기
1731|하늘의 원천
1732|고출력 광선
1733|폭산
1734|징벌
1735|징벌
1736|100메가톤즈 충격
1737|공격
1738|폭력적인 주먹
1739|정신파괴
173a|공격
173b|마법 사격
173c|한손 버스터
173d|양손 버스터
173e|공격
173f|마법 사격
1740|고도
1741|고도 오류
1742|계산
1743|공격
1744|폭력적인 주먹
1745|대지 미사일
1746|얼음 미사일
1747|대형 돌개바람
1748|환영 시스템
1749|강력 돌진
174a|지뢰 살포
174b|지뢰 폭발
174c|공격
174d|대화염방사
174e|양손 로켓 주먹
174f|고출력 광선
1750|슈퍼 점프
1751|파멸 계시
1752|파멸 계시
1753|소형 미사일
1754|대형 미사일
1755|대형 미사일
1756|정의의 발차기
1757|사형 판결
1758|정의의 합체
1759|물풍선 폭탄
175a|마비침
175b|물풍선 폭탄
175c|생명수
175d|노린내
175e|곰팡이 재채기
175f|곰팡이 가래침
1760|에인션트 에어로
1761|에인션트 에어로
1762|강철 폭풍
1763|삼중 강타
1764|헤세드
1765|티페레트
1766|아인
1767|라촌
1768|마신의 분노
1769|아인 소프 오르
176a|다아트
176b|다아트
176c|마신의 탄식
176d|마신의 탄식
176e|생명의 권능
176f|성령의 은사
1770|요동치는 대지
1771|예소드 붕괴
1772|자비의 기둥
1773|자비의 기둥
1774|말쿠트
1775|묵시
1776|승천
1777|준엄의 기둥
1778|맨손치기
1779|번개구름 소환
177a|낙뢰
177b|퀘이사
177c|착지
177d|뒷발길질
177e|공격
177f|폼폼 격려
1780|폼폼 격려
1781|모그 지팡이
1782|모그모그 콰콰쾅
1783|1000모그즈 돌진
1784|폼폼 홀리
1785|파멸의 종착역
1786|파멸의 종착역
1787|말살 명령
1789|건바스타드
178a|마도 슬러그탄
178b|마도 난사
178c|빠른 발놀림
178d|마도 포탑
178e|마도 레이저
178f|마도 유탄
1790|자폭
1791|자폭
1792|에테르 펄스
1793|마도 서번트 점화
1794|마도 서번트 점화
1795|진홍빛 숨결
1796|용의 포효
1797|인두질
1798|착지
179a|소름끼치는 포효
179b|소름끼치는 포효
179c|뜨거운 날개
179d|뜨거운 날개
179e|뜨거운 꼬리
179f|뜨거운 꼬리
17a0|번개 방전
17a1|암룡 강타
17a2|암룡 강타
17a3|유혹의 사과
17a4|원죄
17a5|발톱 난도질
17a6|화염구
17a7|다크 블리자가
17a8|뼈대 흔들기
17a9|종언의 용시
17aa|종언의 용시
17ac|타오르는 별
17ad|폭군의 눈동자
17ae|하이 점프
17af|암룡 강타
17b0|암룡 강타
17b1|암룡 강타
17b2|게이르스코굴
17b3|혼의 사슬
17b4|알라 몬
17b5|용창 가르기
17b7|주살
17b8|아크 몬
17b9|아크 몬
17bb|화염 작렬
17bc|용의 포효
17bd|자폭
17be|사령 침잠
17bf|사령 침잠
17c0|메기도 플레임
17c1|메기도 플레임
17c2|황천의 불기둥
17c3|황천의 불기둥
17c4|응징의 빛줄기
17c5|악마의 안개
17c6|요마 소환
17c8|마력 폭발
17c9|마력 대폭발
17ca|범람하는 죽음
17cb|황천의 바람
17cc|산제물 낙인
17cd|달콤한 검격
17ce|현혹의 안개
17cf|보이드 파이쟈
17d0|부패 브레스
17d1|꼬리쓸기
17d2|살육
17d3|보이드의 피
17d4|죽음의 광선
17d5|파이어
17d6|자포자기
17d7|사령 침잠
17d8|사령 침잠
17d9|슈퍼 점프
17da|슈퍼 점프
17db|날개바람
17dd|압도
17de|생사의 갈림길
17df|덮치기
17e0|함포 사격
17e3|점액
17e4|점액
17e5|1만 볼트
17e6|1만 볼트
17e7|전면 동결
17e8|얼음 덩어리
17e9|얼음 덩어리
17ea|얼음 작렬
17eb|머리 휘두르기
17ec|만뢰
17ed|번개 사슬
17f1|갈라디온 충각
17f2|흑와참
17f3|고모로 쪼개기
17f4|고모로 쪼개기
17f5|확산 사격
17f6|다리 쏘기
17f7|유탄 발사
17f8|독안개
17f9|총알 지옥
17fa|해독제
17fb|폭탄 함정
17fd|폭발
17fe|산탄 사격
17ff|물 뿜기
1800|블랙홀
1801|최후의 심판
1802|융합
1803|형태 변화
1804|형태 변화
1805|타오르는 별
1806|타오르는 별
1807|폭발
1808|에테르 신성
1809|강철 발톱
180a|머리카락 변화
180b|머리카락 참격
180c|쪼개기
180e|머리카락 변화
180f|머리카락 참격
1810|쪼개기
1812|머리카락 연장
1813|머리카락 연장
1814|슈퍼 점프
1815|악마의 머리채
1816|악마의 곱슬머리
1817|악마의 땋은머리
1818|춤추는 광기
1819|마력 흡입
181a|춤추는 광기
181b|춤추는 광기
181c|머리 심기
181e|교살
181f|핏빛 손톱
1820|심연 돌격
1821|오라 폭발
1822|침투
1823|어둠의 내리치기
1824|거미줄 분사
1825|강습
1826|형태 변화
1827|형태 변화
1828|혐오의 저주
1829|혐오의 저주
182a|운석 낙하
182b|파편 폭발
182c|심핵의 빛
182d|메테오
182e|홀리
182f|가속도 폭탄
1830|공격
1831|공격
1832|공격
1833|내파
1834|아라크네의 거미줄
1835|지진
1836|지진
1837|지진
1838|그림자 폭발
1839|거미줄
183a|섬뜩한 시선
183b|부식성 분무
183c|명주실 장막
183d|치명적 일격
183e|파멸 영역
183f|끈끈이 구멍
1840|소화액
1841|마력 방출
1842|거미 덫
1843|자폭
1844|모그모그 콰콰쾅
1845|강습
1846|쓰디쓴 담즙
1847|끈끈이 구멍
1848|힘껏 깨물기
1849|명주실 장막
184a|치명적 일격
184b|파멸 영역
184c|소화액
184d|내면의 악마
184e|다라
184f|천사의 언어
1850|파이어
1851|파이쟈
1852|마법의 비문
1853|불꽃의 비문
1854|화염의 비문
1855|지진의 비문
1856|폭염의 비문
1857|꼬리치기
1858|증오의 절규
1859|대폭발
185a|폭발
185b|번개 방사
185c|다크 블리자가
185d|압축 회오리
185e|아라크네의 거미줄
1861|인두질
1862|고막 파열
1863|불러들이기
1864|지진 균열
1865|점액
1866|머리 휘두르기
1867|쌍검 회전베기
1868|돌풍베기
1869|칼날 선풍
186a|삼단 참격
186b|은신술
186c|기습 공격
186d|독칼날
186e|칼 던지기
186f|휘도는 도끼
1870|폭풍의 눈
1871|분노의 돌진
1872|격앙
1873|마토기: 함정 해제
1874|마토기: 사이트로
1876|마토기: 자기 강화
1877|마토기: 방어 강화
1878|마토기: 보물상자 증가
1879|마토기: 적 감소
187a|마토기: 적 대체
187b|마토기: 저주 해제
187c|마토기: 운 상승
187d|마토기: 적 변형
187e|마토기: 마법 효과 해제
187f|마토기: 만티코어 변신
1880|마토기: 서큐버스 변신
1881|구타
1882|보이드 파이라
1883|지뢰
1884|유인 함정
1885|약화 함정
1886|방해 함정
1887|두꺼비 함정
1888|큰거미의 포옹
188a|파멸의 용시
188c|폭탄 함정
188d|부활
188e|워리어 스페셜
188f|워리어 바이올런스
1890|워리어 다이나믹
1891|자폭
1892|폭발
1893|무기 강화
1894|방어구 강화
1895|포효
1896|솜털 뿌리기
1897|돌풍
1898|살포
1899|솜털 뿌리기
189a|진홍빛 숨결
189b|용의 포효
189c|인두질
189d|착지
189e|소름끼치는 포효
189f|뜨거운 날개
18a0|뜨거운 꼬리
18a1|번개 방전
18a2|유혹의 사과
18a3|발톱 난도질
18a4|종언의 용시
18a5|타오르는 별
18a6|폭군의 눈동자
18a7|하이 점프
18a8|게이르스코굴
18a9|알라 몬
18aa|용창 가르기
18ab|아크 몬
18ac|아크 몬
18ad|화염 작렬
18ae|슈퍼 점프
18af|자폭
18b0|파멸의 용시
18b1|희미한 징조
18b2|파라이가
18b3|소환 2
18b4|모그모그 회전
18b6|파이어
18b7|전광석화
18b8|발굽차기
18b9|흡혈
18ba|초음파
18bb|갑각 파열
18bc|새된 외침
18bd|부패
18be|마지막 벌침
18bf|부식성 침
18c0|최면 숨결
18c1|폭탄 던지기
18c2|폭탄 던지기
18c3|코뿔소 공격
18c4|가스 연막
18c5|찐득한 혀
18c6|힘겨운 뜀뛰기
18c7|소화
18c8|파열
18c9|소금물 방울
18ca|산성 안개
18cb|공격
18cc|역한 입냄새
18cd|황금 혀
18ce|선더
18cf|석화 시선
18d0|고목의 분노
18d1|화염구
18d2|불꽃 비늘
18d3|거북 발구르기
18d4|석화의 눈빛
18d5|공포의 뿔
18d6|헤이스트
18d7|광포
18d8|궐기
18d9|사나운 뿔
18da|다크 블리자가
18db|강철의 정의
18dc|111톤즈 휘두르기
18dd|지저귐
18de|저주
18df|흉안
18e0|속쓰림
18e1|썩은 붕대
18e2|아이즈 온 미
18e3|꼬리쓸기
18e4|빨아들이기
18e5|플러드
18e6|다크
18e7|보이드의 피
18e8|삼단베기
18e9|보이드 파이라
18ea|암흑의 안개
18eb|석화의 눈동자
18ec|더러운 재채기
18ed|두들겨 부수기
18ee|번개 강타
18ef|암흑의 지붕
18f0|잔혹한 도살자
18f1|굳히기
18f2|파라이가
18f3|탐욕스러운 입질
18f4|파라이가
18f5|보이드의 참격
18f6|보이드의 덫
18f7|혼돈의 숨결
18f8|어둠의 가시
18f9|화염구
18fa|발톱 난도질
18fb|절규
18fc|죽음의 덫
18fd|원한
18fe|생기 흡수
18ff|생기 흡수
1900|어둠의 수확
1901|쇠락
1902|검은 밀월
1903|광기의 눈빛
1904|황폐화
1905|공포의 눈길
1906|흡착
1907|교살
1908|덮치기
190a|절규
190b|생매장
190c|보복의 영혼
190d|토네이도
190e|독 송곳니
1910|채찍질
1911|광풍
1912|소음 공해
1913|빛의 구체
1914|대기 작렬
1915|피의 애무
1916|산성 안개
1917|금빛 먼지
1918|잎사귀 폭풍
1919|썩은 냄새
191a|분리
191b|화염 구체
191c|빙결 구체
191d|공포의 안개
191e|고대의 불기둥
191f|불확실한 불꽃
1920|섀도우 플레어
1921|절규
1922|역병의 저주
1923|토네이도
1924|강철의 정의
1925|마력 공급
1926|마력 공급
1927|위장형 파동포
1928|위장형 파동포
1929|블리자드
192a|스톤
192b|워터
192c|난쟁이의 눈동자
192d|혼란의 눈동자
192e|개구리의 눈동자
192f|박치기
1930|양파즙
1931|꼭지따기
1932|고린내
1933|절규
1934|꽃가루
1935|운석 낙하
1936|파편 폭발
1937|코뿔소 공격
1938|코뿔소 방어
1939|썩은 붕대
193a|삼단베기
193b|끔찍한 포효
193c|증쇄
193d|간행
193e|간행
193f|간행
1940|폐간
1941|간행
1942|폐간
1943|폐간
1944|열풍
1945|화염
1946|화염의 바다
1947|돌진
1948|열풍
1949|각인
194a|각인
194b|자석
194c|자력
194d|반발
194e|도서 선정
194f|레비테트의 장
1950|그라비데의 장
1953|각인
1954|다크의 장
1955|다크라의 장
1956|퀘이가의 장
1957|토네이도의 장
1958|토네이도의 장
1959|물요정의 장
195a|선더가의 장
195b|선더가의 장
195c|황도 메테오
195d|황도 메테오
195e|운석 낙하
1961|공격
1962|공격
1963|공격
1964|공격
1965|공격
1966|100톤즈 후려치기
1967|100톤즈 휘두르기
1968|화염의 바다
1969|혜성
196a|원한의 번개
196b|원한의 번개
196d|암석 던지기
196e|퀘이사
196f|퀘이사
1972|선더가
1973|에어로가
1974|선더라
1975|부조화의 신벌
1976|부조화의 벌
1977|부조화의 신벌
1978|부조화의 벌
1979|뜨거운 시선
197a|케알라
197b|마창 찌르기
197c|고통의 소용돌이
197d|앞뒤 견제
197e|측면 견제
197f|반의
1980|흐린 낙원
1981|지혜의 저울
1982|빛의 이슬
1985|돌진
1986|공격
1987|친타마니
1988|맹돌진
198a|난타
198b|어둠의 일격
198c|황폐화
198d|프티 라이브라
198e|삼연격
198f|뾰족한 손톱
1990|마법 망치
1991|꼬리 매타작
1992|뼈대 흔들기
1993|어둠의 충격
1994|공격
1995|마과학 레이저
1996|마과학 레이저
1997|마과학 레이저
1998|에테르 굴절
1999|빛 기둥
199a|공성포
199b|착지
199c|광란의 태양
199d|가속 레이저
199e|확산 레이저
19a2|에테르 웅덩이
19a3|타오르는 별
19a4|빛 기둥
19a5|에테르 공급
19a6|에테르 유출
19a7|퀘이사
19a8|퀘이사
19a9|퀘이사
19aa|이행
19ab|복제
19ac|선더가
19ad|이행
19ae|에어로가
19af|이행
19b0|선더라
19b1|이행
19b2|부조화의 신벌
19b3|부조화의 벌
19b4|부조화의 신벌
19b5|부조화의 벌
19b6|뜨거운 시선
19b7|케알라
19b8|마창 난무
19b9|마창 찌르기
19ba|고통의 소용돌이
19bb|앞뒤 견제
19bc|측면 견제
19bd|반의
19be|흐린 낙원
19bf|빛의 이슬
19c0|빛의 이슬
19c1|돌진
19c2|영적 지혜
19c3|공격
19c4|지혜의 무기
19c5|친타마니
19c6|폭렬 사격
19c7|공기 분출
19c8|바람 사격
19c9|상승
19ca|공습
19cb|폭렬 사격
19cc|폭풍
19cd|공격
19ce|선풍
19cf|대선풍
19d0|흑풍
19d1|깃털 바람
19d2|강풍
19d3|이크살 에어로
19d4|이크살 에어로라
19d5|이크살 에어로가
19d6|매 부르기
19d7|가루다 소환
19d8|먹이 주기
19d9|먹이 주기
19da|단단한 부리
19db|태풍의 눈
19dc|삭풍의 노래
19dd|마녀의 수레바퀴
19de|대기 폭발
19df|다크
19e0|낙석
19e1|재채기
19e2|딱딱한 부리
19e3|돌풍
19e4|이크살 에어로라
19e5|이크살 에어로가
19e6|빛 기둥
19e8|신성한 불꽃
19e9|징벌의 열선
19ea|정화의 열선
19eb|십자 성례
19ec|십자 성례
19ed|원형 성례
19ee|메가 홀리
19ef|백광의 채찍
19f0|백광의 채찍
19f1|중력 이상
19f2|중력 이상
19f3|박살
19f4|신의 의지
19f5|프티 그라비데
19f6|신의 의지
19f7|프티 홀리
19f8|신의 의지
19f9|신성한 심판
19fa|시간의 날개
19fb|시간 정지
19fc|오명의 심판
19fd|중벌의 심판
19fe|연대의 심판
19ff|서약의 심판
1a00|박살
1a01|프티 그라비가
1a02|프티 홀리
1a03|시간 차원문
1a04|심판의 결정체
1a05|심판의 결정체
1a06|결정체 파열
1a07|과거 심판
1a08|시공 잠행
1a09|십자 성례
1a0a|알렉산더 소환
1a0b|성광의 채찍
1a0c|성광의 채찍
1a0d|신벌의 열선
1a0e|참회의 방
1a0f|죄의식
1a10|죄의식
1a11|죄의식
1a12|강제 고해
1a13|성스러운 폭발
1a14|성스러운 폭발
1a15|성체 배령
1a16|고블린 돌진
1a17|고블린 돌진
1a18|신성한 심판
1a19|암흑의 운명
1a1a|육중한 일격
1a1b|압도
1a1c|어둠의 회오리
1a1d|어둠의 회오리
1a1e|하늘 질주
1a1f|하늘 질주
1a20|어둠의 사슬
1a21|완전한 파괴
1a22|완전한 파괴
1a23|회전 칼날
1a24|회전 칼날
1a25|감싸기
1a2b|냉병기 공격
1a2c|대전차포
1a2d|대전차포
1a2e|오른팔 재생
1a2f|왼팔 재생
1a30|장갑 재생
1a31|기관포
1a32|우레 포격
1a33|합금 드릴
1a34|바늘 산탄
1a35|폭발
1a36|에너지 방출
1a37|대화염
1a38|흡수
1a39|고철 주먹
1a3a|고철 폭발
1a3b|고철 폭풍
1a3c|한팔 후려갈기기
1a3d|양팔 후려갈기기
1a3e|고철 폭탄
1a3f|고철 폭탄
1a40|우레 포격
1a41|냉병기 공격
1a42|대전차포
1a43|광선검
1a44|광선검
1a45|광선검
1a46|자폭
1a47|낙하
1a48|발진
1a49|비행형 변신
1a4b|호박!
1a4d|블래스티 블래스터
1a4e|보행형 변신
1a4f|착지 충격파
1a50|조준
1a51|조준
1a52|조준
1a53|호크 블래스터
1a54|슈퍼 호크 블래스터
1a55|호크 블래스터
1a56|광자
1a57|광자
1a58|추진 돌풍
1a59|GA-100
1a5c|맹공포
1a5d|오른쪽 레이저 베기
1a5e|왼쪽 레이저 베기
1a5f|블래스티 돌진
1a60|회전 분쇄
1a61|광선검
1a62|광선검
1a63|광선검
1a64|초고출력
1a65|자폭
1a66|발진
1a67|GA-100
1a68|GA-100
1a69|블래스티 블래스터
1a6b|착지 충격파
1a6c|조준
1a6d|조준
1a6e|조준
1a6f|호크 블래스터
1a70|호크 블래스터
1a71|슈퍼 호크 블래스터
1a72|호크 블래스터
1a73|광자
1a74|광자
1a75|추진 돌풍
1a76|GA-100
1a77|GA-100
1a78|맹공포
1a79|오른쪽 레이저 베기
1a7a|왼쪽 레이저 베기
1a7c|폭뢰 기폭
1a7d|대폭발
1a7e|초전자 폭발
1a7f|레이저 교차베기
1a80|리미터 해제
1a81|알파검
1a82|슈퍼 블래스티 돌진
1a83|블래스티 돌진
1a84|회오리바람
1a85|회전 분쇄
1a86|퀘이사
1a87|퀘이사
1a88|퀘이사
1a89|에테르 검
1a8a|메테오
1a8b|충격
1a8c|충격
1a8d|동상
1a8e|동상
1a8f|고브류 대회전베기
1a90|초회전
1a91|고브류 대회전베기
1a92|고브류 초승달베기
1a93|고브류 초승달베기
1a94|참격
1a95|롤러 프레스
1a96|롤러 프레스
1a97|단발 충전
1a98|2연속 충전
1a99|3연속 충전
1a9a|고브류 연속베기
1a9b|고브류 회전베기
1a9c|일격필중
1a9d|일격필중
1a9e|폭탄 던지기
1a9f|고브류 고블린 돌진
1aa0|고브류 대격진
1aa1|고브류 진공베기
1aa3|고브류 물보라베기
1aa4|고브류 되받아치기
1aa5|고브류 되받아치기
1aa6|총격
1aa7|총격
1aa8|푸른손 화포
1aa9|표적
1aaa|표적
1aab|고브 폭발
1aac|고브톤스킨
1aad|자폭
1aae|자폭
1ab0|함정 기동
1ab1|함정 기동
1ab2|함정 기동
1ab3|롤러 프레스
1ab4|롤러 프레스
1abd|마과학 플레어
1ac0|광란의 태양
1ac1|확산 레이저
1ac2|화염방사
1ac3|화염방사
1ac4|낙석
1ac5|고브류 대격진
1ac6|충격
1ac7|동상
1ac8|참격
1ac9|롤러 프레스
1aca|롤러 프레스
1acb|고브류 연속베기
1acc|고브류 회전베기
1acd|일격필중
1ace|폭탄 던지기
1acf|고브류 고블린 돌진
1ad0|고브류 대격진
1ad1|고브류 진공베기
1ad2|푸른손 화포
1ad3|고브 폭발
1ad4|마토기: 리레이즈
1ad5|마토기: 쿠리부 변신
1ad6|마토기: 보물 탐지
1ad7|천상의 심판
1ad8|심연
1ad9|고통의 주문
1ada|구속
1adb|죽음의 선고
1adc|어둠 소환
1add|휘두르기
1ade|투석
1adf|습격
1ae0|친타마니
1ae1|지혜의 저울
1ae3|신성한 불꽃
1ae4|징벌의 열선
1ae5|십자 성례
1ae6|십자 성례
1ae7|메가 홀리
1ae8|백광의 채찍
1ae9|백광의 채찍
1aea|중력 이상
1aeb|중력 이상
1aec|박살
1aed|프티 홀리
1aee|신의 의지
1aef|신성한 심판
1af0|시간 정지
1af1|중벌의 심판
1af2|연대의 심판
1af3|정화의 열선
1af4|공격
1af6|씨앗 투척
1af7|거친 바람
1af8|휘두르기
1af9|습격
1afa|포식
1afc|성체 배령
1aff|냉병기 공격
1b00|대전차포
1b01|대전차포
1b02|오른팔 재생
1b03|왼팔 재생
1b04|장갑 재생
1b05|기관포
1b06|우레 포격
1b07|합금 드릴
1b08|바늘 산탄
1b09|폭발
1b0a|에너지 방출
1b0b|대화염
1b0c|흡수
1b0d|고철 주먹
1b0e|고철 폭발
1b0f|고철 폭풍
1b10|한팔 후려갈기기
1b11|양팔 후려갈기기
1b12|고철 폭탄
1b13|고철 폭탄
1b14|우레 포격
1b15|냉병기 공격
1b16|대전차포
1b17|공성포
1b19|압축 파동
1b1a|대 야만신포
1b1b|노려보기
1b1c|나서기
1b1d|욕설
1b1e|파이라
1b1f|얼음 보호막
1b20|저주의 칼날
1b21|정신파괴
1b22|병폐
1b23|끔찍한 포효
1b24|심연의 공격
1b25|심연의 관통
1b26|공포의 눈길
1b27|맹속 타격
1b28|목 쪼개기
1b29|신비로운 빛
1b2a|고약한 숨결
1b2b|반대 교합
1b2c|태고의 울음소리
1b2d|태고의 안광
1b2e|파괴의 뿔
1b2f|꼬리 휘두르기
1b30|압사
1b31|느린 공
1b32|염산 뿌리기
1b33|힘껏 깨물기
1b34|제3의 다리 전진
1b35|제3의 다리 후퇴
1b36|낙뢰
1b37|집게발 잡기
1b38|지진 균열
1b39|털깃
1b3a|계시
1b3b|100톤즈 휘두르기
1b3c|아이 오브 비홀더
1b3d|바나나 먹기
1b3e|암석 던지기
1b3f|강력 공격
1b40|메가 블래스터
1b41|채찍 난타
1b42|호루라기
1b43|덮치기
1b44|포효
1b45|폭음 파동
1b46|광란
1b47|흡혈 물어뜯기
1b48|자폭
1b49|포탄
1b4a|화강암 세례
1b4b|화염구
1b4c|모래 숨결
1b4d|모래 태풍
1b4e|꼬챙이
1b4f|끌어당기기
1b50|소각
1b51|용암 숨결
1b52|뼈대 꺾기
1b53|팔꿈치 찍기
1b54|독가루
1b55|화염 숨결
1b56|냉기 숨결
1b57|번개 숨결
1b58|전광석화
1b59|거대한 뿔
1b5a|악마의 열병
1b5b|울음소리
1b5c|마지막 벌침
1b5d|부식성 침
1b5e|마비 숨결
1b5f|고블린 돌진
1b60|코뿔소 방어
1b61|익사의 안개
1b62|마비침
1b63|찐득한 혀
1b64|파열
1b65|산성 분무
1b66|점막
1b67|금빛 먼지
1b68|역한 입냄새
1b69|달콤한 입냄새
1b6a|집단구타
1b6b|게워내기
1b6c|스톤스킨
1b6d|꼬리 휘두르기
1b6e|번개 송곳니
1b6f|대방전
1b70|등딱지 강화
1b71|몸통 박기
1b72|뿔 박기
1b73|강속구
1b74|토네이도
1b75|고통의 칼날
1b76|썩은 붕대
1b77|레벨 5 석화
1b78|부패 브레스
1b79|플러드
1b7a|난쟁이의 눈동자
1b7b|마안
1b7c|들이마시기
1b7d|대소용돌이
1b7e|문드러진 꼬리
1b7f|잔혹한 운명
1b80|해골 질주자
1b81|보이드 파이쟈
1b82|미아즈마 브레스
1b83|사악한 눈길
1b84|야성의 돌진
1b85|대흥분
1b86|압살 송곳니
1b87|느린 공
1b88|소낙눈
1b89|보이드 블리자드
1b8a|장송격
1b8b|얼음 공급기
1b8c|흡혈의 손길
1b8d|심연의 관통
1b8e|공명
1b8f|섬 떨어뜨리기
1b90|이중 광선
1b91|싸늘한 폭풍
1b92|고막 파열
1b93|불러들이기
1b94|극락의 바람
1b95|노려보기
1b96|구타
1b97|북치기
1b98|블래스터
1b99|야수의 발톱
1b9a|흡혈 물어뜯기
1b9b|쇄빙
1b9c|얼음판
1b9d|지진
1b9e|모래늪
1b9f|모래기둥
1ba0|꼬리 후려치기
1ba1|끈적한 실
1ba2|독 숨결
1ba3|완전 동결
1ba4|평지 내리치기
1ba5|허물 벗기
1ba6|빙결의 포효
1ba7|뇌전의 포효
1ba8|투석
1ba9|무기력한 흐느낌
1baa|죽음의 소용돌이
1bab|진눈깨비 세례
1bac|레벨 5 데스
1bad|부리 휘두르기
1bae|역병의 저주
1baf|게이르뢰드
1bb0|슬픔의 전당
1bb1|발푀드르
1bb2|원한
1bb3|수포
1bb4|강력한 이빨
1bb5|물벼락
1bb6|전기 발생
1bb7|낙뢰
1bb8|대소용돌이
1bb9|대소용돌이
1bba|호령
1bbb|황도 메테오
1bbc|불꽃 회초리
1bbd|파괴 공작
1bbe|특대폭발
1bbf|특대폭발
1bc0|서리 그레네이드
1bc1|대폭발
1bc2|자폭
1bc3|어둠 소환
1bc4|암흑의 안개
1bc5|보이드 파이쟈
1bc6|악마의 유혹
1bc7|피의 검
1bc8|황폐화
1bc9|공포의 눈길
1bca|물귀신 작전
1bcb|느린 공
1bcc|화염구
1bcd|어둠의 가시
1bce|소금물 방울
1bcf|강속구
1bd0|마안
1bd1|보이드 파이쟈
1bd2|공포의 눈길
1bd3|낙뢰
1bd4|모래기둥
1bd5|역병의 저주
1bd6|고브톤스킨
1bd7|흡인
1bd8|채찍질
1bd9|광풍
1bda|소음 공해
1bdb|빛의 구체
1bdc|대기 작렬
1bdd|피의 애무
1bde|산성 안개
1bdf|금빛 먼지
1be0|잎사귀 폭풍
1be1|썩은 냄새
1be2|분리
1be3|화염 구체
1be4|빙결 구체
1be5|공포의 안개
1be6|고대의 불기둥
1be7|불확실한 불꽃
1be8|섀도우 플레어
1be9|절규
1bea|역병의 저주
1beb|토네이도
1bec|달콤한 검격
1bed|암흑의 안개
1bee|보이드 파이라
1bf1|핏빛 비
1bf2|게이르뢰드
1bf3|슬픔의 전당
1bf4|발푀드르
1bf5|원한
1bf6|수포
1bf7|강력한 이빨
1bf8|물벼락
1bf9|전기 발생
1bfa|낙뢰
1bfb|대소용돌이
1bfc|대소용돌이
1bfd|호령
1bfe|황도 메테오
1bff|흡인
1c00|불꽃 회초리
1c01|파괴 공작
1c02|자폭
1c03|빙쇄
1c04|쇄빙
1c05|기갑 전진
1c06|냉병기 공격
1c07|대전차포
1c08|대전차포
1c09|보이드 에어로
1c0a|산성비
1c0b|공격
1c0c|공격
1c0d|야습
1c0e|악몽
1c0f|밤의 방패
1c10|재앙의 전조
1c11|재앙의 전조
1c12|궁극의 공포
1c13|어둠의 공포
1c14|요마 소환
1c15|어둠 분출
1c17|재앙의 전조
1c19|공허의 야습
1c1a|그림자 관통
1c1b|암야
1c1c|암야
1c1d|공허의 밤
1c1e|공허의 방패
1c1f|공허의 경외
1c20|공허의 악몽
1c21|공허의 공포
1c22|공허의 전조
1c23|공허의 전조
1c24|파동 폭발
1c25|파동 폭발
1c26|파동 폭발
1c27|파동 폭발
1c28|맹점 기습
1c29|요동치는 대지
1c2a|요동치는 대지
1c2b|양날의 검
1c2c|파이어
1c2d|사나운 뿔
1c2e|점액
1c2f|포자 주머니
1c30|가연성 가스
1c31|가연성 가스
1c32|불붙이기
1c33|불붙이기
1c34|맹렬한 포효
1c35|꼬리 매타작
1c36|꼬리 휘두르기
1c37|발톱 난도질
1c38|진공 칼날
1c39|야성의 돌진
1c3a|맹렬한 돌진
1c3b|화염구
1c3c|용암 방사
1c3d|용암 방사
1c3e|도약 내리찍기
1c3f|화산활동
1c40|죽음의 꼬리
1c41|파멸 영역
1c42|용암 분사
1c43|용암 분사
1c44|용암 분사
1c45|불러내기
1c46|시추공
1c47|지진
1c48|죽음의 꼬리
1c4a|화염
1c4b|눈 지지기
1c4c|화염 바퀴
1c4d|용암 숨결
1c4e|타오르는 별
1c4f|타오르는 별
1c50|숙청
1c51|변이
1c52|쌍둥이 영혼
1c53|쌍둥이 영혼
1c54|화염창
1c55|귀신강하
1c56|서늘한 불덩이
1c57|변이
1c58|얼음과 불
1c59|매서운 얼음창
1c5a|꼬리 휩쓸기
1c5b|얼음 선풍
1c5c|남십자성
1c5d|남십자성
1c5e|鬼神：履行技スタート：演出アクション：極
1c5f|변이
1c60|아후라 마즈다
1c61|강력 찌르기
1c62|광포
1c63|메라시디아 메테오
1c64|혜성
1c65|메라시디아 파이어
1c66|메라시디아의 공포
1c67|불의 각인
1c68|얼음의 각인
1c69|남극성
1c6a|북극성
1c6b|남극성
1c6c|북극성
1c6d|티르핑
1c6e|티르핑
1c6f|파이가
1c70|금속 가르기
1c71|귀신의 발톱
1c72|파동포
1c73|파동포
1c74|보이드 블리자가
1c75|보이드 블리자가
1c76|보이드 블리자쟈
1c77|보이드 블리자쟈
1c78|보이드 에어로라
1c79|보이드 에어로라
1c7a|보이드 에어로가
1c7b|보이드 에어로가
1c7c|보이드 에어로쟈
1c7d|보이드 에어로쟈
1c7e|보이드 데스
1c7f|보이드 데스
1c82|보이드 데스쟈
1c83|보이드 데스쟈
